model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,Make_BMW,Make_Ford,Make_Hyundai,Make_audi,Make_skoda,Make_toyota,Make_vw
8,2016.0,10600.0,15567.0,0.0,76.3,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2017.0,15000.0,14864.0,145.0,52.3,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,2019.0,31000.0,4264.0,145.0,33.2,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
86,2019.0,28000.0,4000.0,145.0,42.8,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2019.0,28000.0,4000.0,145.0,42.2,1.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,2019.0,21499.0,2721.0,145.0,49.6,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
85,2019.0,26000.0,4000.0,145.0,42.2,1.5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
87,2016.0,30000.0,49649.0,235.0,42.2,3.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
11,2017.0,17000.0,14068.0,145.0,51.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,14500.0,23092.0,145.0,52.3,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2017.0,17500.0,30682.0,160.0,50.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2018.0,22000.0,29477.0,145.0,61.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2016.0,15500.0,25376.0,30.0,57.6,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2017.0,12100.0,49221.0,145.0,55.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,17400.0,10001.0,145.0,51.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2016.0,16000.0,52544.0,30.0,61.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2017.0,21100.0,32771.0,145.0,70.6,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2018.0,24400.0,13303.0,145.0,40.4,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2019.0,18750.0,2752.0,145.0,44.8,1.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2016.0,16500.0,23307.0,160.0,49.6,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2017.0,11000.0,34551.0,150.0,67.3,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,2018.0,20000.0,12167.0,150.0,50.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2015.0,15400.0,23237.0,20.0,67.3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2016.0,15500.0,11863.0,160.0,50.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2017.0,14800.0,21225.0,145.0,72.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2015.0,17100.0,32083.0,30.0,61.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2017.0,11200.0,34824.0,0.0,67.3,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2017.0,12800.0,20351.0,30.0,55.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,16000.0,58028.0,145.0,52.3,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2017.0,20000.0,44783.0,145.0,62.8,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2014.0,11950.0,60604.0,20.0,67.3,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2013.0,9400.0,39998.0,30.0,65.7,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2016.0,13300.0,79728.0,30.0,64.2,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2017.0,18500.0,29095.0,20.0,64.2,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2013.0,8300.0,98940.0,0.0,74.3,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2018.0,19800.0,20832.0,150.0,47.1,2.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2016.0,15400.0,29196.0,145.0,55.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2017.0,13900.0,14392.0,145.0,53.3,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2018.0,15600.0,20070.0,145.0,52.3,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2016.0,16200.0,89334.0,30.0,62.8,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2016.0,14300.0,45485.0,20.0,70.6,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
